cod_titulo,titulo,locacao,valor,qtde_tot,qtde_disp,cod_grupo,cod_estilo
444,"Aquarela Brasileira","24",,1,1,7,47
445,"Perdido de Amor","24",,1,1,7,47
446,"Samba e Pagode Vol 5","24",,1,1,7,47
447,"Tá Delícia, Tá Gostoso","24",,1,1,7,47
448,"Pura Emoção","24",,1,1,7,47
449,"Deita e Rola","24",,1,1,7,47
450,"Samba Pras Moças","24",,1,1,7,47
451,"É O Tchan","24",,1,1,7,47
452,"Meu Recado","24",,2,2,7,47
453,"Bem No Íntimo","24",,1,1,7,47
454,"Acervo Especial - Grupo Raça","24",,1,1,7,47
455,"Em Busca do Prazer","24",,1,1,7,47
456,"Me Olha","24",,1,1,7,47
457,"Cia. Do Samba","24",,1,1,7,47
458,"Imperatriz Bicampeã ","24",,1,1,7,47
459,"Palco Iluminado","24",,1,1,7,47
460,"Raça Negra Ao Vivo","24",,1,1,7,47
461,"Nova Era","24",,1,1,7,47
462,"Sucesso de Bilheteria","24",,1,1,7,47
463,"Coisas do Peito","24",,1,1,7,47
464,"É o Amor","24",,1,1,7,47
465,"Grupo Apoteose","24",,1,1,7,47
466,"Vergoha na Cara","24",,1,1,7,47
467,"Um Ombro Amigo","24",,1,1,7,47
468,"Sabor de Paz","24",,1,1,7,47
469,"Morena Menina","24",,1,1,7,47
470,"Festa da Raça Brasileira","24",,1,1,7,47
471,"Ter e Não Ter","24",,1,1,7,47
472,"Na Boquinha da Garrafa Vol 1","24",,2,2,7,47
473,"Temporal","24",,3,3,7,47
474,"Carnaval","24",,1,1,7,47
475,"Que Pena","24",,1,1,7,47
476,"Acervo Especial - Samba","24",,1,1,7,47
477,"Forrogode","24",,1,1,7,47
478,"Acervo Especial - Zeca Pagodinho","24",,1,1,7,47
479,"Série Aplauso","24",,1,1,7,47
480,"Samba Nas Coxas","24",,1,1,7,47
481,"Dengo","24",,1,1,7,47
482,"Sertanejo","24",,1,1,7,47
483,"Sambas da Bahia","24",,1,1,7,47
484,"O Carnaval de","24",,1,1,7,47
485,"Seja Sambista Também","24",,1,1,7,47
486,"Divina Luz","24",,1,1,7,47
487,"Ciranda do Povo","24",,1,1,7,47
488,"Samba é No Fundo do Quintal","24",,1,1,7,47
489,"O Show Tem Que Continuar","24",,1,1,7,47
490,"Canta Canta Minha Gente","24",,1,1,7,47
491,"Quem Te Ama Sou Eu","24",,1,1,7,47
492,"Samba e Pagode Vol 2","24",,1,1,7,47
493,"Teu Charme","24",,1,1,7,47
494,"Coisa Boa Demais","24",,1,1,7,47
495,"Preto no Branco","24",,1,1,7,47
496,"Diga Sim","24",,1,1,7,47
497,"Tempero","24",,1,1,7,47
498,"Tô Chutando Lata","24",,1,1,7,47
499,"Sempre Sou Eu","24",,1,1,7,47
