cod_interprete,interprete
922,"Nana Caymmi"
923,"Elymar Santos"
924,"Marcelo Augusto"
925,"Joyce"
926,"Joyce"
927,"Verônica Sabino"
928,"Tom Jobim"
929,"Eliana"
930,"Cantigas de Ninar"
931,"Tv Colosso 2"
932,"Mara "
933,"Eliana"
934,"Angélica"
935,"Trem da Alegria"
936,"Pátria Minha"
937,"Irmãos Coragem"
938,"Quinteto Violado"
939,"Pixinguinha"
940,"Elizeth Cardoso"
941,"Música Popular do Sul"
942,"Música Popular do Centro-Oeste / Sudeste 3"
943,"Música Popular do Nordeste"
944,"Música Popular do Norte"
945,"Morte e Vida Severina"
946,"Gonzaguinha"
947,"Gal Costa"
948,"Gal Costa"
949,"Quatro Por Quatro"
950,"Fagner"
951,"Fagner"
952,"Leoni"
953,"Helena Meirelles"
954,"Geraldo Azevedo"
955,"Guilherme Arantes"
956,"Gabriel   ( O Pensador )"
957,"Latino"
958,"Agepê"
959,"Zé Ramalho"
960,"Roberta Miranda"
961,"Sampa Crew"
962,"Marisa Monte"
963,"Cassia Ellen"
964,"Milton Carlos"
965,"Leandro & Leonardo"
966,"Adriana Calcanhoto"
967,"Alceu Valença"
968,"Belchior"
969,"Djavan"
970,"João Bosco"
971,"Milton Nascimento"
972,"Elomar"
973,"Vinicius de Moraes"
974,"Toquinho"
975,"Lenine / Suzano"
976,"Rei"
977,"Reginaldo Rossi"
978,"Caetano Veloso"
979,"Lulu Santos"
980,"Elba Ramallho"
981,"Guilherme Arantes"
982,"Guilherme Arantes"
983,"Caetano e Gil"
984,"Maria Bethânia"
985,"Wando"
986,"Simone Bittencourt de Oliveira"
987,"Cazuza"
988,"W / Hits"
989,"Sandra de Sá"
990,"A Próxima Vítima"
991,"Engraçadinha"
992,"Sandy & Junior"
993,"Elomar / Vital Farias / Xangai / Geraldo Azevedo"
994,"Cida Moreyra"
995,"Angela Rôrô"
996,"Amado Batista"
997,"Ivan Lins"
998,"Adilson Ramos"
999,"Renata Arruda"
1000,"Amelhinha"
1001,"Jorge Cabeleira"
1002,"You Can Dance"
1003,"Mc D'eddy"
1004,"Cazuza"
1005,"Kleiton & Kledir"
1006,"Gal Costa"
1007,"Marina"
1008,"Belchior"
1009,"José Augusto"
1010,"Rap Brasil"
1011,"Fagner"
1012,"Beth Carvalho"
1013,"Milton Nascimento"
1014,"Emilio Santiago"
1015,"Elba Ramalho"
1016,"Núbia Lafayette"
1017,"Irmãos Coragem - 2"
1018,"Ney Matogrosso"
1019,"Adoniran Barbosa"
1020,"Gal Costa"
1021,"Caçarola"
1022,"Fagner"
1023,"Remix Baby"
1024,"Pinduca"
1025,"Mara"
1026,"Tony Ramos"
1027,"Fátima Guedes"
1028,"Jorge Ben Jor"
1029,"Luís Melodia"
1030,"Toquinho"
1031,"Zé Ramalho"
1032,"Cauby Peixoto"
1033,"Zezé di Camargo & Luciano"
1034,"Fafá de Belém "
1035,"Flávio Venturini"
1036,"Altemar Dutra"
1037,"Renato e Seus Blue Caps"
1038,"Trio Irakitan"
1039,"MD Mc's"
1040,"João Bosco"
1041,"Dulce Dantas"
1042,"Linda e Dircinha Batista"
1043,"Eugénia Melo Castro"
1044,"João Bosco"
1045,"João Bosco"
1046,"Raul Seixas"
1047,"Lulu Santos"
1048,"Maria Bethânia"
1049,"Fagner"
1050,"Eliana"
1051,"Demônios da Garoa"
1052,"Chico Buarque"
1053,"Oswaldo Montenegro"
1054,"A Bela & a Fera"
1055,"Allan Montarroyos"
1056,"Wando"
1057,"Djavan"
1058,"Raphael Rabello"
1059,"Eduardo"
1060,"Djavan"
1061,"Maria Bethânia"
1062,"Nelson Gonçalves"
1063,"Isaurinha Garcia & Noite Ilustrada"
1064,"Funk Total"
1065,"Kid Abelha"
1066,"Jane Duboc"
