cod_interprete,interprete
666,"Nelson Ned"
667,"Nelson Ned"
668,"Pe. Zezinho "
669,"Pe. Zezinho"
670,"Pe. Zezinho "
671,"Pe. Zezinho"
672,"Pe. Zezinho "
673,"Pe. Zezinho"
674,"Pe. Zezinho"
675,"Pe. Zezinho"
676,"Pe. Zezinho"
677,"Pe. Zezinho"
678,"Pe. Zezinho"
679,"Nelson Ned"
680,"Catedral"
681,"J. Neto"
682,"Aline Barros"
683,"Alexandre Miranda & Grupo Portas Abertas"
684,"Pe. Zezinho"
685,"Catedral"
686,"Otto Klemperer"
687,"Dimitri Mitropoulos"
688,"Arturo Toscanini"
689,"Bruno Walter"
690,"José Carreras"
691,"The 3 Tenors In Concert  1994"
692,"Os Meninos de São Caetano        "
693,"As Eternas Valsas Vienenses"
694,"Wilhelm Backhaus"
695,"Placido Domingo"
696,"Callas / Di Stefano / Lanza / Pavarotti"
697,"Audio News Clássicos Barroco "
698,"Canto Gregoriano"
699,"Carlos Gomes "
700,"Cantos Gregorianos"
701,"Clássicos Românticos"
702,"Clássiscos From The Crypt"
703,"Shadowfax - The Dreams of Children"
704,"Tenores   Vol. I  Ao Vivo  "
705,"Pavarotti In Brazil"
706,"O Fantasma da Opera"
707,"Festival Clássico "
708,"Beethoven, Ludwing Van "
709,"Mozart  "
710,"Valsas Brasileiras"
711,"Strauss, Johan ( Os Grandes Classicos )"
712,"Beethoven, Ludwig Van"
713,"Carmina Burana"
714,"Os Três Anjos  "
715,"Audio News  -  Sinfonias"
716,"Lombardi"
717,"Papa João Paulo II"
718,"W. A. Mozart"
719,"Beethoven, Ludwig Van"
720,"Mozart "
721,"Tenores ao Vivo  2"
722,"Beethoven  "
723,"Maria Callas "
724,"Beethoven, Ludwig Van"
725,"Beethoven, Ludwig Van"
726,"Concertos Internacionais"
727,"Tenores ao Vivo "
728,"Os Mais Belos Clássicos"
729,"Amadeus Mozar, Wolfang"
730,"Tenores ao Vivo "
731,"Beethoven "
732,"Bach, Johan Sebastian "
733,"H. Berlioz "
734,"Beethoven, Ludwig Van "
735,"Canto Gregoriano "
736,"Chopin "
737,"Wagner"
738,"Prokofiev"
739,"Schubert"
740,"Verdi, Donizatti, Glinka"
741,"Tchaikovsky  "
742,"Grieg"
743,"Beethoven, Chopin, Schubert"
744,"Rimsky-Korsakov"
745,"Dvorak"
746,"Mozart & Mahler"
747,"Carmina Burana "
748,"Handel "
749,"Os Meninos de São Caetano"
750,"Tenores ao Vivo"
751,"Schubert, Franz"
752,"Tchaikóvski"
753,"Mozart"
754,"Bach"
755,"Beethoven"
756,"Vivaldi"
757,"Chopin"
758,"Ravel, Maurice"
759,"Tenores ao Vivo"
760,"Jose Carreras"
761,"Ravel"
762,"Tchaikovsky"
763,"Haendel"
764,"Giuseppe Verdi"
765,"Giuseppe Verdi"
766,"Casamentos Inesquecíveis"
767,"Gioacchino Rossini"
768,"Jose Carreras / Montserrat Caballé"
769,"Plácido Domingo"
770,"Coleções os 14 Grandes Tenores"
771,"Vivaldi,  As 4 Estações"
772,"Jose Carreras"
773,"Pavarotti & Friends"
774,"Tchaikovsky, Pjotr Ilyich"
775,"Bach, Johann Sebastian"
776,"Franz Schubert / Ludwig Van Beethoven"
777,"Albinoni / Marcello / Corelli / Vivaldi"
778,"Tchaikovsky / Liszt"
779,"Wagner"
780,"Vivaldi,  Antonio "
781,"Gustav Mahler"
782,"Grande Orquestra de Viena"
783,"Grieg  "
784,"Maria Callas"
785,"Tchaikovsky"
786,"Joseph Haydn"
787,"Nicanor Zabaleta"
788,"The 3 Tenors"
789,"The Best Classical Album in The World"
790,"Placido Domingos "
791,"As Mais Belas Valsas"
792,"Ave Maria "
793,"Virtual Orchestra"
794,"Caetano Veloso"
795,"Caetano Veloso"
796,"Elis Regina"
797,"Elis Regina"
798,"Elis Regina"
799,"Marina Lima"
800,"Zizi Possi"
801,"Elba Ramalho"
802,"Fábio Júnior"
803,"Ney Matogrosso"
804,"Leila Pinheiro"
805,"Leila Pinheiro"
806,"Leila Pinheiro"
807,"Tim Maia"
808,"Maria Bethânia"
809,"Alceu Valença"
810,"Djavan"
811,"Gilberto Gil"
812,"Vanguarda da Música Popular Brasileira"
813,"Ivan Lins"
814,"Jorge Ben Jor"
815,"Alcione"
816,"Edson Cordeiro"
817,"Geraldo Vandré"
818,"Gonzaguinha  ( Ao Vivo )"
819,"João Bosco"
820,"Zizi Possi"
821,"Milton Nascimento"
822,"Marisa Monte "
823,"Oswaldo Montenegro"
824,"Ópera do Malandro ( Chico Buarque )"
825,"Xuxa"
826,"Beto Guedes  "
827,"Tim Maia"
828,"Caetano Veloso"
829,"Ivan Lins"
830,"Beth Carvalho"
831,"The Fevers"
832,"Boca Livre"
833,"Nara Leão"
834,"Leo Gandelman"
835,"Flávio Venturini"
836,"Roupa Nova"
837,"Chico Buarque"
838,"Reginaldo Rossi"
839,"José Augusto"
840,"Simone"
841,"Gonzaguinha"
842,"Clara Nunes"
843,"MPB 4"
844,"Adriana Calcanhoto"
845,"Chitãozinho & Xororó"
846,"Leandro e Leonardo"
847,"Ney Matogrosso"
848,"Alceu Valença"
849,"Roupa Nova"
850,"Maria Bethânia"
851,"Maria Bethânia"
852,"Beto Guedes"
853,"Nana Caymmi"
854,"Nana Caymmi"
855,"Zezé di Camargo & Luciano"
856,"Roberto Carlos"
857,"Djavan"
858,"Zizi Possi"
859,"Ney Matogrosso"
860,"João Gilberto"
861,"Luiz Melodia"
862,"Dorival Caymmi"
863,"Fafá de Belém"
864,"Ângela Maria"
865,"Gilberto Gil"
866,"Alceu Valença"
867,"Tom Jobim"
868,"Almir Sater"
869,"Tom Jobim"
870,"Vinícius / Toquinho & Mais Amigos"
871,"Toquinho e Vinícius"
872,"Roberta Miranda"
873,"Renato Russo"
874,"Guilherme Arantes"
875,"Fagner"
876,"Simone"
877,"Falcão"
878,"Rosana"
879,"Nana Caymmi"
880,"Gal  Costa"
881,"Marina Lima"
882,"Djavan"
883,"Patrícia Marx"
884,"Milton Nascimento"
885,"Paulo Diniz"
886,"Joanna"
887,"Lisa Ono"
888,"Geraldo Vandré"
889,"Erasmo Carlos"
890,"Zé Ramalho"
891,"Guilherme Arantes"
892,"Belchior"
893,"Xangai"
894,"Nara Leão"
895,"Edson Cordeiro"
896,"Paulinho da Viola"
897,"Gilberto Gil"
898,"Eduardo Dusek"
899,"Angela & Cauby"
900,"Rita Lee"
901,"Danilo Caymmi"
902,"Geraldo Azevedo"
903,"Sá e Guarabyra"
904,"Elis Regina"
905,"Adriana Calcanhoto"
906,"Marisa Monte"
907,"Dori, Nana, Danilo e Dorival Caymmi"
908,"Ney Matogrosso"
909,"Sandy & Júnior"
910,"Nelson Gonçalves"
911,"Nelson Gonçalves"
912,"Osvaldo Montenegro"
913,"14 Bis"
914,"Quarteto Em Cy"
915,"Quarteto Em Cy"
916,"Gilberto Gil"
917,"14 Bis"
918,"Taiguara"
919,"Edson Gomes"
920,"Angela & Cauby"
921,"Banda de Pau e Corda"
